model,pcbType,pcbSize,count,MatrixSize,PanelRows,ETNcount
GENERIC,digit,11,48,,,
GENERIC,misc,4,16,,,
GENERIC,misc_I,4,32,,,
LX1020,ball,3,1,,,
LX1020,digit,11,5,,,
LX1020,out,3,1,,,
LX1020,strike,3,1,,,
LX1030,ball,4,1,,,
LX1030,digit,18,5,,,
LX1030,out,4,1,,,
LX1030,strike,4,1,,,
LX1050,ball,3,1,,,
LX1050,digit,15,5,,,
LX1050,out,3,1,,,
LX1050,strike,3,1,,,
LX1062,digit,18,2,,,
LX1064,digit,18,4,,,
LX1118,digit,18,2,,,
LX1118,half,18,1,,,
LX1130,ball,4,1,,,
LX1130,digit,11,4,,,
LX1130,digit,18,5,,,
LX1130,out,4,1,,,
LX1130,strike,4,1,,,
LX1131,ball,4,1,,,
LX1131,digit,11,7,,,
LX1131,digit,18,5,,,
LX1131,out,4,1,,,
LX1131,strike,4,1,,,
LX1132,ball,4,1,,,
LX1132,digit,11,6,,,
LX1132,digit,18,5,,,
LX1132,misc,4,1,,,
LX1132,out,4,1,,,
LX1132,strike,4,1,,,
LX1135,ball,4,1,,,
LX1135,digit,11,3,,,
LX1135,digit,18,5,,,
LX1135,misc,4,1,,,
LX1135,out,4,1,,,
LX1135,strike,4,1,,,
LX1136,ball,4,1,,,
LX1136,digit,11,2,,,
LX1136,digit,18,5,,,
LX1136,misc,4,1,,,
LX1136,out,4,1,,,
LX1136,strike,4,1,,,
LX1138,ball,4,1,,,
LX1138,digit,11,4,,,
LX1138,digit,18,5,,,
LX1138,out,4,1,,,
LX1138,strike,4,1,,,
LX1320,SDown1_2,3,1,,,
LX1320,SDown3_4,3,1,,,
LX1320,ball,3,1,,,
LX1320,digit,11,9,,,
LX1320,strike,3,1,,,
LX1340,ball,4,1,,,
LX1340,digit,18,7,,,
LX1340,misc,4,1,,,
LX1340,out,4,1,,,
LX1340,strike,4,1,,,
LX1341,ball,4,1,,,
LX1341,digit,18,8,,,
LX1341,out,4,1,,,
LX1341,strike,4,1,,,
LX1360,digit,18,10,,,
LX1360,down_1_2,4,1,,,
LX1360,down_3_4,4,1,,,
LX1360,misc,4,2,,,
LX1360,misc_F,4,1,,,
LX1360,misc_G,4,1,,,
LX1360,qtr_1_2,4,1,,,
LX2055,digit,6,50,,,
LX2056,digit,6,72,,,
LX2160,digit,12,2,,,
LX2160,misc,4,1,,,
LX2180,digit,6,4,,,
LX2180,digit,12,2,,,
LX2180,misc,4,2,,,
LX2330,Bposs_<,3,1,,,
LX2330,Bposs_>,3,1,,,
LX2330,bonus_C,3,2,,,
LX2330,bonus_E,3,2,,,
LX2330,colonDec,9,1,,,
LX2330,digit,6,1,,,
LX2330,digit,9,8,,,
LX2330,half,9,2,,,
LX3018,digit,18,2,,,
LX3024,digit,24,2,,,
LX3030,bottom,30,2,,,
LX3030,middle,30,2,,,
LX3050,digit,24,4,,,
LX3050,digit,15,2,,,
LX3054,digit,24,4,,,
LX3054,digit,15,4,,,
LX3070,bottom,30,4,,,
LX3070,middle,30,4,,,
LX3070,top,30,4,,,
LX3070,digit,15,4,,,
,top,30,2,,,
LX3120,digit,11,9,,,
LX6320,digit,11,9,,,
LX6324,digit,11,9,,,
LX7230,bonus,3,2,,,
LX7230,digit,11,9,,,
LX7230,half,11,2,,,
LX7230,poss,3,2,,,
LX7250,digit,11,9,,,
LX7250,misc_A,4,2,,,
LX7250,misc_C,4,2,,,
LX7260,bonus,3,2,,,
LX7260,digit,11,14,,,
LX7260,half,11,4,,,
LX7260,poss,3,2,,,
LX7406,digit,6,4,,,
LX7520,digit,11,6,,,
LX7620,digit,11,8,,,
LX7640,digit,18,8,,,
LX7640,misc,4,1,,,
LX7860,digit,11,21,,,
LX1060,ball,4,1,9 x 32,2P 1R,4
LX1060,digit,18,5,9 x 32,2P 1R,4
LX1060,misc,4,2,9 x 32,2P 1R,4
LX1060,out,4,1,9 x 32,2P 1R,4
LX1060,strike,4,1,9 x 32,2P 1R,4
LX1060,ETN,7IN 9x16,4,9 x 32,2P 1R,4
LX1070,ball,4,1,9 x 56,3.5P 1R,6 + 2H
