model,pcbType,pcbSize,count
GENERIC,digit,11,48
GENERIC,misc,4,16
GENERIC,misc_I,4,32
LX1020,ball,3,1
LX1020,digit,11,5
LX1020,out,3,1
LX1020,strike,3,1
LX1030,ball,4,1
LX1030,digit,18,5
LX1030,out,4,1
LX1030,strike,4,1
LX1050,ball,3,1
LX1050,digit,15,5
LX1050,out,3,1
LX1050,strike,3,1
LX1060,ball,4,1
LX1060,digit,18,5
LX1060,misc,4,2
LX1060,out,4,1
LX1060,strike,4,1
LX1062,digit,18,2
LX1064,digit,18,4
LX1070,ball,4,1
LX1070,digit,18,5
LX1070,half,18,1
LX1070,misc,4,2
LX1070,out,4,1
LX1070,strike,4,1
LX1118,digit,18,2
LX1118,half,18,1
LX1130,ball,4,1
LX1130,digit,11,4
LX1130,digit,18,5
LX1130,out,4,1
LX1130,strike,4,1
LX1131,ball,4,1
LX1131,digit,11,7
LX1131,digit,18,5
LX1131,out,4,1
LX1131,strike,4,1
LX1132,ball,4,1
LX1132,digit,11,6
LX1132,digit,18,5
LX1132,misc,4,1
LX1132,out,4,1
LX1132,strike,4,1
LX1135,ball,4,1
LX1135,digit,11,3
LX1135,digit,18,5
LX1135,misc,4,1
LX1135,out,4,1
LX1135,strike,4,1
LX1136,ball,4,1
LX1136,digit,11,2
LX1136,digit,18,5
LX1136,misc,4,1
LX1136,out,4,1
LX1136,strike,4,1
LX1138,ball,4,1
LX1138,digit,11,4
LX1138,digit,18,5
LX1138,out,4,1
LX1138,strike,4,1
LX1160,ball,4,1
LX1160,digit,11,4
LX1160,digit,18,5
LX1160,misc,4,2
LX1160,out,4,1
LX1160,strike,4,1
LX1161,ball,4,1
LX1161,digit,11,7
LX1161,digit,18,5
LX1161,misc,4,3
LX1161,out,4,1
LX1161,strike,4,1
LX1162,ball,4,1
LX1162,digit,11,6
LX1162,digit,18,5
LX1162,misc,4,3
LX1162,out,4,1
LX1162,strike,4,1
LX1164,ball,4,1
LX1164,digit,11,8
LX1164,digit,18,5
LX1164,misc,4,2
LX1164,out,4,1
LX1164,strike,4,1
LX1165,ball,4,1
LX1165,digit,11,3
LX1165,digit,18,5
LX1165,misc,4,3
LX1165,out,4,1
LX1165,strike,4,1
LX1166,ball,4,1
LX1166,digit,11,2
LX1166,digit,18,5
LX1166,misc,4,3
LX1166,out,4,1
LX1166,strike,4,1
LX1168,ball,4,1
LX1168,digit,11,4
LX1168,digit,18,5
LX1168,misc,4,2
LX1168,out,4,1
LX1168,strike,4,1
LX1240,digit,11,3
LX1240,digit,18,5
LX1240,half,18,1
LX1241,digit,11,6
LX1241,digit,18,5
LX1241,half,18,1
LX1241,misc,4,1
LX1244,digit,11,7
LX1244,digit,18,5
LX1244,half,18,1
LX1250,digit,18,8
LX1250,half,18,1
LX1250,misc,4,2
LX1260,digit,18,4
LX1260,digit,24,4
LX1260,half,18,1
LX1260,misc,4,2
LX1320,SDown1_2,3,1
LX1320,SDown3_4,3,1
LX1320,ball,3,1
LX1320,digit,11,9
LX1320,strike,3,1
LX1340,ball,4,1
LX1340,digit,18,7
LX1340,misc,4,1
LX1340,out,4,1
LX1340,strike,4,1
LX1341,ball,4,1
LX1341,digit,18,8
LX1341,out,4,1
LX1341,strike,4,1
LX1360,digit,18,10
LX1360,down_1_2,4,1
LX1360,down_3_4,4,1
LX1360,misc,4,2
LX1360,misc_F,4,1
LX1360,misc_G,4,1
LX1360,qtr_1_2,4,1
LX1370,digit,18,10
LX1370,half,18,1
LX1370,misc,4,2
LX1371,digit,18,11
LX1371,half,18,1
LX1371,misc,4,3
LX1372,digit,18,10
LX1372,half,18,1
LX1372,misc,4,3
LX1373,digit,18,10
LX1373,half,18,2
LX1373,misc,4,2
LX1374,digit,18,12
LX1374,half,18,1
LX1374,misc,4,2
LX1376,digit,18,10
LX1376,half,18,2
LX1376,misc,4,2
LX1377,E,15,1
LX1377,H,15,1
LX1377,digit,15,1
LX1377,digit,18,8
LX1377,half,18,1
LX1390,ball,4,1
LX1390,digit,15,1
LX1390,digit,18,8
LX1390,misc,4,2
LX1390,out,4,1
LX1390,strike,4,1
LX1440,digit,15,3
LX1440,digit,18,11
